path,matched_symbols,role,runtime_change_authorized
src/app/api/institution/wecom/customer-mapping-candidates/handler.ts,readWeComCustomerMapping,production_reference_review,false
src/modules/institution/components/WeComCustomerMappingCandidatesReadonlyPanel.tsx,readWeComCustomerMapping,production_reference_review,false
src/modules/institution/server/wecom-controlled-reachout-service.ts,WeComCustomerMappingRepository,w1c_mapping_read_consumer_excluded,false
src/modules/institution/server/wecom-controlled-reachout-transaction.ts,createWeComCustomerMappingRepository|WeComCustomerMappingRepository,w1c_mapping_read_consumer_excluded,false
src/modules/institution/server/wecom-customer-mapping-candidates-reader.ts,readWeComCustomerMapping,production_reference_review,false
src/modules/institution/server/wecom-customer-mapping-repository.ts,createWeComCustomerMappingRepository|WeComCustomerMappingRepository,w1b_legacy_mapping_writer,false
src/modules/institution/server/wecom-customer-mapping-review-action-default-runtime.ts,readWeComCustomerMapping,production_reference_review,false
src/modules/institution/server/wecom-customer-mapping-service.ts,WeComCustomerMappingRepository|writeWeComCustomerMapping|readWeComCustomerMapping,w1b_legacy_mapping_service_dormant,false
src/modules/institution/server/wecom-customer-mapping-transaction.ts,createWeComCustomerMappingRepository|WeComCustomerMappingRepository|runWeComCustomerMappingTransaction,w1b_legacy_mapping_transaction_dormant,false
src/modules/institution/view-models/wecom-customer-mapping-candidates-reader.ts,readWeComCustomerMapping,production_reference_review,false
