path,methods,dynamic_route,formal_guard,section_guard,object_guard,capability_off,matrix_present,risk_family,governance_decision,current_disposition,source_sha256,matrix_source_sha256,matrix_digest_match
src/app/api/institution/ai-service-usage/route.ts,GET,false,true,true,false,true,false,,,formal_guarded,511df0151a546034fed7afcb866615f1cee1e5fcafd9bdc522381edaac22eeb5,,false
src/app/api/institution/appointments/route.ts,GET|PATCH|POST,false,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,1053b1e07f3ac186261e96473ad6d74ff0b34f03af3f8075dfe4729cdec77fff,1053b1e07f3ac186261e96473ad6d74ff0b34f03af3f8075dfe4729cdec77fff,true
src/app/api/institution/audit-events/route.ts,GET,false,true,true,false,true,false,,,formal_guarded,0195ee75d3778e16229733b6697c9f48c9f56f058e2f4479173f9de7e20ad984,,false
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,c03e29881a2e00a36a2e581c06ccc29b10c575faf97ede2612516e5c4eb12744,c03e29881a2e00a36a2e581c06ccc29b10c575faf97ede2612516e5c4eb12744,true
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,true,true,true,true,true,true,readonly_dynamic_object,eligible_for_object_guard_preflight,formal_guarded,2a670e492773241d4b2e27b65f2d4aa5d6cdaa6ee49b0bff6bbb597cfa1018df,adce907180a9d7f4b49d43189d412ca6e9698227c14c326f40fb4017b470b08b,false
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,true,true,true,true,true,true,readonly_dynamic_object,eligible_for_object_guard_preflight,formal_guarded,5d864eb072c0e260a806759cf936510c422e452b959cd06f807357a395b2ad8e,f2871d9b695ecac5b195516eca269dffa0b70bb03a05c4ad01a7682f78547118,false
src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,true,true,true,true,true,true,readonly_dynamic_object,eligible_for_object_guard_preflight,formal_guarded,3938379fa5369bf6de9bd9a8b2e901ea4a43f41bf270b34bd7b2078bb0fd3cd9,f583b4d7bd7551a115ab612e744c849db35ad3df8a425179f82e51abfced59e8,false
src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,0c1accfaa65ad6afc0ed68fa77e45b044585423cfce3d971551b407e49ff9439,0c1accfaa65ad6afc0ed68fa77e45b044585423cfce3d971551b407e49ff9439,true
src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,GET|POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,d7ef6ab693a353e0882e850838b01b81f1894501c23dad690039ef2b7ca50bcb,d7ef6ab693a353e0882e850838b01b81f1894501c23dad690039ef2b7ca50bcb,true
src/app/api/institution/customers/import/route.ts,POST|PUT,false,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,0510d1bf24502e10724ccba51e65866704e2231cd505e1996a50e4bb9b3edd2c,0510d1bf24502e10724ccba51e65866704e2231cd505e1996a50e4bb9b3edd2c,true
src/app/api/institution/customers/route.ts,GET|PATCH|POST,false,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,0dee9f516a82ee1e055b22f0e2676517e6d068ef93f4b050a3eff857bce50baa,0dee9f516a82ee1e055b22f0e2676517e6d068ef93f4b050a3eff857bce50baa,true
src/app/api/institution/dashboard-stats/route.ts,GET,false,false,false,false,false,true,legacy_or_compatibility,prove_retirement_or_canonical_delegation_before_guard,governed_fail_closed,b3961b6889cc0f2fccc998fbe7c6121f8b88ea35e9629d1e99694e2cedd79de7,b3961b6889cc0f2fccc998fbe7c6121f8b88ea35e9629d1e99694e2cedd79de7,true
src/app/api/institution/entitlement-usage/route.ts,GET,false,true,true,false,true,false,,,formal_guarded,f8046e775085061400c499af982155fa411c682c21f7a76f071822fd2d8768ee,,false
src/app/api/institution/follow-up-path-analysis/route.ts,GET,false,false,false,false,false,true,legacy_or_compatibility,prove_retirement_or_canonical_delegation_before_guard,governed_fail_closed,8497b04f2898bb50f155d5c65da42777660bfa0cf7e10fd57af645ca6bbc86be,8497b04f2898bb50f155d5c65da42777660bfa0cf7e10fd57af645ca6bbc86be,true
src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6,true
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6,true
src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6,5749be0ad79b9fd1f281ffc541b8833ae439150e37b4a5ca0ab2635ab594d8c6,true
src/app/api/institution/followup-message-drafts/[draftId]/route.ts,PATCH,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,88965dc1115a5bba32ed0dafe5fcb93ba23950a9b10d597c15dc78a7842bb475,88965dc1115a5bba32ed0dafe5fcb93ba23950a9b10d597c15dc78a7842bb475,true
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,GET|POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,f7b5993b3ba41a78552d88c6e898c64388b2bd3ac42accfa8fe03b45a4d0defa,f7b5993b3ba41a78552d88c6e898c64388b2bd3ac42accfa8fe03b45a4d0defa,true
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,GET|POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,0a4322ec6f7e3434dcc68aa0222206a90f840f18b2ad3c7b4357b1da970f2101,0a4322ec6f7e3434dcc68aa0222206a90f840f18b2ad3c7b4357b1da970f2101,true
src/app/api/institution/followup-message-drafts/route.ts,GET|POST,false,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,f37987e51522951cc1fb22ab323d72a5b201f3a4b2eb8f0a68ae7123db160994,f37987e51522951cc1fb22ab323d72a5b201f3a4b2eb8f0a68ae7123db160994,true
src/app/api/institution/followup-message-templates/route.ts,GET,false,true,true,false,true,false,,,formal_guarded,19b00dbd3deb1a3685d62e20bfda2312a4868fa1c73f097c1494707eed5469de,,false
src/app/api/institution/followup-operations/dashboard/route.ts,GET,false,true,true,false,true,false,,,formal_guarded,6c6803d091b1304167e48e4d948f03e5eb585cafcbb0e4919dcba2aa371ba886,,false
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/cancel/route.ts,POST,true,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,cb17ca94a426d69641bcbdc0990e62ed4460f1bc257312c6d73bd297c57f6f48,cb17ca94a426d69641bcbdc0990e62ed4460f1bc257312c6d73bd297c57f6f48,true
src/app/api/institution/followup-paths/enrollments/[enrollmentId]/route.ts,GET,true,false,false,false,true,true,readonly_dynamic_object,eligible_for_object_guard_preflight,governed_fail_closed,84679191699054446e79294a67f1b44475981ce021f57b02dc08427e58a6e4d7,84679191699054446e79294a67f1b44475981ce021f57b02dc08427e58a6e4d7,true
src/app/api/institution/followup-paths/enrollments/route.ts,GET|POST,false,false,false,false,true,true,mutation_or_mixed,defer_to_mutation_specific_authorization_slice,governed_fail_closed,9d7d981e0177579780e40089775ec6cd1fd97e9829756afb1d4571aa20f24f4d,9d7d981e0177579780e40089775ec6cd1fd97e9829756afb1d4571aa20f24f4d,true
src/app/api/institution/followup-paths/templates/route.ts,GET,false,true,true,false,true,false,,,formal_guarded,d03fc0b28ded53cbc8b475e59309f07491dab3baad21b03c6591745560fbd4f7,,false
