path,methods,section,dynamic_object,direct_db,demo_signal,high_risk_path,legacy_or_retired,capability_off,request_read_detected,formal_guard_current,first_batch_completed,second_batch_selected,classification
src/app/api/institution/ai-service-usage/route.ts,GET,system,false,false,false,false,true,false,false,false,false,false,deferred_retired_or_legacy_route
src/app/api/institution/appointments/route.ts,GET|POST|PATCH,care,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/audit-events/route.ts,GET,system,false,false,false,false,false,true,false,false,false,true,second_batch_eligible
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,customers,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,GET|POST,customers,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/customers/import/route.ts,POST|PUT,customers,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/customers/route.ts,GET|POST|PATCH,customers,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/dashboard-stats/route.ts,GET,analytics,false,false,false,false,true,false,false,false,false,false,deferred_retired_or_legacy_route
src/app/api/institution/entitlement-usage/route.ts,GET,system,false,false,false,false,false,true,false,true,true,false,first_batch_completed
src/app/api/institution/follow-up-path-analysis/route.ts,GET,care,false,false,false,false,true,false,false,false,false,false,deferred_retired_or_legacy_route
src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/route.ts,PATCH,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,GET|POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,GET|POST,care,true,false,false,false,false,true,false,false,false,false,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/route.ts,GET|POST,care,false,false,false,false,false,true,false,false,false,false,deferred_write_mixed_or_unknown_method
src/app/api/institution/followup-message-templates/route.ts,GET,care,false,false,false,false,false,true,false,false,false,true,second_batch_eligible
src/app/api/institution/followup-operations/dashboard/route.ts,GET,care,false,false,false,false,false,true,false,false,false,false,second_batch_eligible
