path,protected_symbol_touch,direct_protected_mutation,canonical_owner,owner_delegation,disabled_by_contract,read_only_consumer,operational_entry,classification
scripts/db/mig01-a2-provisioning-runner.mjs,false,false,false,false,false,false,true,operational_entry_no_protected_touch
scripts/db/mig01-a2-provisioning-runner.test.mjs,false,false,false,false,false,false,true,operational_entry_no_protected_touch
scripts/demo/seed-v06-low-sensitive-demo.ts,true,false,false,false,true,false,true,disabled_by_contract
scripts/verify/architecture-quality.mjs,true,false,false,false,false,false,false,lifecycle_review_required
scripts/verify/architecture-quality.test.mjs,true,true,false,false,false,false,false,owner_outside_direct_writer
src/app/api/institution/customers/import/route.ts,false,false,false,false,true,false,true,disabled_by_contract
src/app/api/v1/open-platform/trial-data-reset/route.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/access-control/server/authoritative-membership-reader.ts,true,false,false,true,false,true,false,delegated_to_access_control_owner
src/modules/access-control/server/membership-command-repository.ts,true,true,true,true,false,false,false,canonical_owner_writer
src/modules/auth/server/auth-account-service.ts,true,false,false,false,false,false,false,lifecycle_review_required
src/modules/institution/domain/customer-import.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/institution/server/customer-import.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/institution/server/tenant-quota-enforcement.ts,true,false,false,false,false,true,false,read_only_consumer
src/modules/institution/server/trial-provisioning-service.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/open-platform/components/TrialDataResetPanel.tsx,true,false,false,false,false,false,true,lifecycle_review_required
src/modules/open-platform/domain/tenant-plan-binding.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/open-platform/server/tenant-account-management-repository.ts,true,false,false,false,false,true,true,read_only_consumer
src/modules/open-platform/server/tenant-account-management-service.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/open-platform/server/tenant-plan-binding-repository.ts,false,false,false,true,false,false,true,delegated_to_access_control_owner
src/modules/open-platform/server/tenant-plan-binding-service.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/open-platform/server/trial-data-reset-service.ts,false,false,false,false,true,false,true,disabled_by_contract
src/modules/tenancy/provisioning/provisioning-candidate-canonicalization.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-candidate-manifest.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-candidate-source.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-candidate-v2-canonicalization.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-candidate-v2-manifest.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-candidate-v2-source.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-canonicalization.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-context-policy.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-kernel.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-lease.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-manifest.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/provisioning-ports.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/server/provisioning-readonly-postgres-adapter.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/modules/tenancy/provisioning/server/provisioning-write-postgres-adapter.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
src/server/db/schema.ts,true,false,false,false,false,true,false,read_only_consumer
src/server/db/seed-demo-data.ts,false,false,false,false,true,false,true,disabled_by_contract
src/server/db/seed-guard.ts,false,false,false,false,false,false,true,operational_entry_no_protected_touch
