path,slices,roles,change_kinds,runtime_authorized
src/modules/care/application/appointment-command-service.ts,W2_P2A_APPOINTMENTS,care_appointment_application_owner,create,false
src/modules/care/application/follow-up-command-service.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,care_followup_task_path_timeline_application_owner,create,false
src/modules/care/application/follow-up-message-draft-command-service.ts,W2_P2C_MESSAGE_DRAFT,care_message_draft_application_owner,create,false
src/modules/care/server/appointment-command-repository.ts,W2_P2A_APPOINTMENTS,care_appointment_canonical_writer,create,false
src/modules/care/server/follow-up-command-repository.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,care_followup_task_path_timeline_canonical_writer,create,false
src/modules/care/server/follow-up-message-draft-command-repository.ts,W2_P2C_MESSAGE_DRAFT,care_message_draft_canonical_writer,create,false
src/modules/care/tests/AppointmentCommandRepository.test.ts,W2_P2A_APPOINTMENTS,appointment_writer_scope_cas_tests,create,false
src/modules/care/tests/AppointmentCommandService.test.ts,W2_P2A_APPOINTMENTS,appointment_application_scope_cas_tests,create,false
src/modules/care/tests/FollowUpCommandRepository.test.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,followup_writer_scope_cas_idempotency_tests,create,false
src/modules/care/tests/FollowUpCommandService.test.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,followup_application_atomicity_scope_tests,create,false
src/modules/care/tests/FollowUpMessageDraftCommandRepository.test.ts,W2_P2C_MESSAGE_DRAFT,message_draft_writer_cas_scope_tests,create,false
src/modules/care/tests/FollowUpMessageDraftCommandService.test.ts,W2_P2C_MESSAGE_DRAFT,message_draft_application_atomicity_scope_tests,create,false
src/modules/institution/server/followup-customer-timeline-service.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE;W2_P2C_MESSAGE_DRAFT,production_caller_rewire_care_evidence;production_caller_rewire_message_timeline_port,modify;modify,false
src/modules/institution/server/followup-message-draft-service.ts,W2_P2C_MESSAGE_DRAFT,production_caller_rewire_draft_transaction,modify,false
src/modules/institution/server/followup-path-enrollment-service.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,production_caller_rewire_path_bundle,modify,false
src/modules/institution/server/followup-path-enrollment-transaction.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,legacy_compatibility_transaction_delegate,create,false
src/modules/institution/server/tenant-business-repository.ts,W2_P2A_APPOINTMENTS;W2_P2B_FOLLOWUP_PATH_TIMELINE;W2_P2C_MESSAGE_DRAFT,legacy_appointment_writer_blockade_read_compatibility;legacy_task_path_timeline_writer_blockade_read_compatibility;legacy_message_draft_writer_blockade_read_compatibility,modify;modify;modify,false
src/modules/institution/server/treatment-followup-confirmation.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE,production_caller_rewire_source_task,modify,false
src/modules/institution/server/wecom-controlled-reachout-service.ts,W2_P2C_MESSAGE_DRAFT,production_caller_rewire_care_draft_cas_port,modify,false
src/modules/institution/server/wecom-controlled-reachout-transaction.ts,W2_P2C_MESSAGE_DRAFT,delegate_care_draft_writer_inside_existing_wecom_transaction,modify,false
src/modules/institution/tests/FollowUpMessageDraftService.test.ts,W2_P2C_MESSAGE_DRAFT,draft_lifecycle_timeline_audit_regression,modify,false
src/modules/institution/tests/TenantBusinessRepository.test.ts,W2_P2A_APPOINTMENTS;W2_P2B_FOLLOWUP_PATH_TIMELINE;W2_P2C_MESSAGE_DRAFT,legacy_appointment_blockade_regression;legacy_task_path_timeline_blockade_regression;legacy_message_draft_blockade_regression,modify;modify;modify,false
src/modules/institution/tests/WeComControlledReachOutRepository.test.ts,W2_P2C_MESSAGE_DRAFT,legacy_controlled_draft_writer_blockade_regression,modify,false
src/modules/institution/tests/WeComControlledReachOutService.test.ts,W2_P2C_MESSAGE_DRAFT,controlled_reachout_care_port_cas_regression,modify,false
src/server/orchestration/care-follow-up-transaction.test.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE;W2_P2C_MESSAGE_DRAFT,care_transaction_commit_rollback_tests;extend_care_transaction_draft_audit_rollback_tests,create;modify,false
src/server/orchestration/care-follow-up-transaction.ts,W2_P2B_FOLLOWUP_PATH_TIMELINE;W2_P2C_MESSAGE_DRAFT,care_cross_repository_transaction_composition_root;extend_care_transaction_with_draft_timeline_audit_bundle,create;modify,false
src/server/orchestration/wecom-reachout-transaction.test.ts,W2_P2C_MESSAGE_DRAFT,cross_owner_transaction_atomicity_regression,modify,false
src/server/orchestration/wecom-reachout-transaction.ts,W2_P2C_MESSAGE_DRAFT,compose_care_draft_writer_with_messaging_and_audit,modify,false
