path,role,change_kind,runtime_authorized
src/modules/care/application/follow-up-message-draft-command-service.ts,care_message_draft_application_owner,create,false
src/modules/care/server/follow-up-message-draft-command-repository.ts,care_message_draft_canonical_writer,create,false
src/modules/care/tests/FollowUpMessageDraftCommandService.test.ts,message_draft_application_atomicity_scope_tests,create,false
src/modules/care/tests/FollowUpMessageDraftCommandRepository.test.ts,message_draft_writer_cas_scope_tests,create,false
src/server/orchestration/care-follow-up-transaction.ts,extend_care_transaction_with_draft_timeline_audit_bundle,modify,false
src/server/orchestration/care-follow-up-transaction.test.ts,extend_care_transaction_draft_audit_rollback_tests,modify,false
src/modules/institution/server/tenant-business-repository.ts,legacy_message_draft_writer_blockade_read_compatibility,modify,false
src/modules/institution/tests/TenantBusinessRepository.test.ts,legacy_message_draft_blockade_regression,modify,false
src/modules/institution/server/followup-message-draft-service.ts,production_caller_rewire_draft_transaction,modify,false
src/modules/institution/server/followup-customer-timeline-service.ts,production_caller_rewire_message_timeline_port,modify,false
src/modules/institution/server/wecom-controlled-reachout-service.ts,production_caller_rewire_care_draft_cas_port,modify,false
src/modules/institution/server/wecom-controlled-reachout-transaction.ts,delegate_care_draft_writer_inside_existing_wecom_transaction,modify,false
src/server/orchestration/wecom-reachout-transaction.ts,compose_care_draft_writer_with_messaging_and_audit,modify,false
src/server/orchestration/wecom-reachout-transaction.test.ts,cross_owner_transaction_atomicity_regression,modify,false
src/modules/institution/tests/FollowUpMessageDraftService.test.ts,draft_lifecycle_timeline_audit_regression,modify,false
src/modules/institution/tests/WeComControlledReachOutService.test.ts,controlled_reachout_care_port_cas_regression,modify,false
src/modules/institution/tests/WeComControlledReachOutRepository.test.ts,legacy_controlled_draft_writer_blockade_regression,modify,false
