slice_id,owner,exact_current_surface_path,attribution_shape,bypass_flags,future_runtime_allowlist_status
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/components/CustomerCenterShell.tsx,tenant_plus_institution_shape_present,raw_sql|legacy_institution,candidate_exact_existing_surface_not_authorized
W6_INSTITUTION_SYSTEM,Institution System,src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,table_reference_unresolved_review,raw_sql|legacy_institution,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx,table_reference_unresolved_review,raw_sql|legacy_institution,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,table_reference_unresolved_review,raw_sql|legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/components/InstitutionNavigationShell.tsx,tenant_plus_institution_shape_present,raw_sql|legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/domain/wecom-customer-mapping-review-actions.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/domain/wecom-customer-mapping-review.ts,tenant_plus_institution_shape_present,legacy_institution,candidate_exact_existing_surface_not_authorized
W1_CUSTOMERS_MESSAGING,Customers / Messaging,src/modules/institution/domain/wecom-real-send-proof.ts,table_reference_unresolved_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W6_INSTITUTION_SYSTEM,Institution System,src/modules/institution/server/his-connection-credential-compensation-job-queue-repository.ts,tenant_only_shape_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W6_INSTITUTION_SYSTEM,Institution System,src/modules/institution/server/his-connection-credential-compensation-operation-repository.ts,tenant_only_shape_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W6_INSTITUTION_SYSTEM,Institution System,src/modules/institution/server/his-connection-credential-storage.ts,table_reference_unresolved_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W6_INSTITUTION_SYSTEM,Institution System,src/modules/institution/server/his-connection-repository.ts,tenant_only_shape_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W5_ANALYTICS,Analytics,src/modules/institution/server/institution-ai-call-usage-repository.ts,mixed_attribution_shape_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/institution/server/institution-knowledge-rag-answer-service.ts,table_reference_unresolved_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/institution/server/institution-knowledge-upload-service.ts,table_reference_unresolved_review,legacy_institution,candidate_exact_existing_surface_not_authorized
W3_KNOWLEDGE,Knowledge,src/modules/institution/server/institution-knowledge-write-repository.ts,mixed_attribution_shape_review,legacy_institution,candidate_exact_existing_surface_not_authorized
