path,methods,section,dynamic_object,direct_db,demo_signal,external_touch,high_risk_path,legacy_or_retired,capability_off,request_read_detected,next_only_import,formal_guard_current,completed_guarded_route,third_batch_selected,existing_status,existing_code,classification
src/app/api/institution/ai-service-usage/route.ts,GET,system,false,false,false,false,false,false,true,false,true,false,false,false,410,institution_ai_usage_capability_off,remaining_unselected_low_risk_candidate
src/app/api/institution/appointments/route.ts,GET|PATCH|POST,care,false,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_write_mixed_or_unknown_method
src/app/api/institution/audit-events/route.ts,GET,system,false,false,false,false,false,false,true,false,false,true,true,false,503,institution_audit_events_capability_disabled,completed_guarded_route
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,POST,care,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,GET,care,true,false,false,false,false,false,true,false,true,false,false,false,503,customer_followup_overview_capability_disabled,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,GET,care,true,false,false,false,false,false,true,false,true,false,false,false,503,customer_followup_timeline_capability_disabled,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/timeline/route.ts,GET,customers,true,false,false,false,false,false,true,false,true,false,false,false,503,customer_timeline_capability_disabled,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/treatment-summaries/route.ts,POST,care,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/customers/[customerId]/wecom-reachout-safety/route.ts,GET|POST,customers,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/customers/import/route.ts,POST|PUT,customers,false,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_write_mixed_or_unknown_method
src/app/api/institution/customers/route.ts,GET|PATCH|POST,customers,false,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_write_mixed_or_unknown_method
src/app/api/institution/dashboard-stats/route.ts,GET,care,false,false,false,false,false,true,false,false,true,false,false,false,410,legacy_dashboard_stats_disabled,deferred_legacy_or_retired
src/app/api/institution/entitlement-usage/route.ts,GET,system,false,false,false,false,false,false,true,false,false,true,true,false,503,capability_disabled,completed_guarded_route
src/app/api/institution/follow-up-path-analysis/route.ts,GET,analytics,false,false,false,false,false,true,false,false,true,false,false,false,410,legacy_follow_up_path_analysis_disabled,deferred_legacy_or_retired
src/app/api/institution/followup-message-drafts/[draftId]/approve/route.ts,POST,care,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/mark-sent/route.ts,POST,care,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/reject/route.ts,POST,care,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/route.ts,PATCH,care,true,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/wecom-controlled-reachout/route.ts,GET|POST,care,true,false,false,false,true,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/[draftId]/wecom-customer-broadcast-task/route.ts,GET|POST,care,true,false,false,false,true,false,true,false,true,false,false,false,503,capability_disabled,deferred_dynamic_object
src/app/api/institution/followup-message-drafts/route.ts,GET|POST,care,false,false,false,false,false,false,true,false,true,false,false,false,503,capability_disabled,deferred_write_mixed_or_unknown_method
src/app/api/institution/followup-message-templates/route.ts,GET,care,false,false,false,false,false,false,true,false,false,true,true,false,503,capability_disabled,completed_guarded_route
src/app/api/institution/followup-operations/dashboard/route.ts,GET,care,false,false,false,false,false,false,true,false,true,false,false,true,503,follow_up_operations_dashboard_capability_disabled,third_batch_selected
