path,owner,slice_id,scope_class,mutation_kinds,schema_symbols,sql_tables,attribution_shape,bypass_flags,implementation_authorized
src/app/api/open-platform/audit-events/route.ts,Other,OTHER_REVIEW,later_or_outside_phase,delete,,,table_reference_unresolved_review,none,false
src/modules/access-control/server/membership-command-repository.ts,Access Control,EXCLUDED_ACCESS_CONTROL,excluded_foundation_owner,insert+update,authAccountInstitutionBindingTransitions|authAccountInstitutionBindings|tenantMembers|tenantMembershipTransitions,auth_account_institution_binding_transitions|auth_account_institution_bindings|tenant_members|tenant_membership_transitions,mixed_attribution_shape_review,none,false
src/modules/audit/server/audit-event-repository.ts,Audit,W9_AUDIT_LATER,later_or_outside_phase,insert,auditEvents|customers|followUpMessageDrafts,audit_events|customers|follow_up_message_drafts,tenant_plus_institution_shape_present,none,false
src/modules/auth/application/formal-institution-session-context.ts,Identity,EXCLUDED_IDENTITY,excluded_foundation_owner,delete,,,table_reference_unresolved_review,none,false
src/modules/auth/server/auth-account-repository.ts,Identity,EXCLUDED_IDENTITY,excluded_foundation_owner,insert+update,authUsers,auth_users,global_or_unattributed_shape_review,none,false
src/modules/auth/server/demo-session.ts,Identity,EXCLUDED_IDENTITY,excluded_foundation_owner,update,,,table_reference_unresolved_review,none,false
src/modules/auth/server/formal-server-session-provenance-owner.ts,Identity,EXCLUDED_IDENTITY,excluded_foundation_owner,delete+update,,,table_reference_unresolved_review,none,false
src/modules/institution/components/CustomerCenterShell.tsx,Customers / Messaging,W1_CUSTOMERS_MESSAGING,business_writer_surface,raw_sql,customers,customers,tenant_plus_institution_shape_present,raw_sql|legacy_institution,false
src/modules/institution/components/HisConnectionReadOnlyPanel.tsx,Institution System,W6_INSTITUTION_SYSTEM,business_writer_surface,raw_sql,,,table_reference_unresolved_review,raw_sql|legacy_institution,false
src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx,Knowledge,W3_KNOWLEDGE,business_writer_surface,raw_sql,,,table_reference_unresolved_review,raw_sql|legacy_institution,false
src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,Knowledge,W3_KNOWLEDGE,business_writer_surface,raw_sql,,,table_reference_unresolved_review,raw_sql|legacy_institution,false
