path,route_url,version_class,api_version,domain,family_key,http_methods,method_count,dynamic_segment_count,dynamic_segments,runtime_reference_file_count,test_reference_file_count,script_reference_file_count,runtime_reference_files,test_reference_files,script_reference_files,current_category,matrix_phase,matrix_status,risk,manual_review_required,move_now,counterpart_status,counterpart_paths,governance_priority,recommended_next_action
src/app/api/auth/login/route.ts,/api/auth/login,unversioned,unversioned,auth,/api/auth/login,POST,1,0,,1,2,0,src/modules/auth/components/ConfiguredLoginPages.tsx,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts,,api-route,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/auth/logout/route.ts,/api/auth/logout,unversioned,unversioned,auth,/api/auth/logout,POST,1,0,,1,2,0,src/modules/auth/components/LogoutButton.tsx,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts,,api-route,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/auth/session/route.ts,/api/auth/session,unversioned,unversioned,auth,/api/auth/session,GET,1,0,,2,5,0,src/modules/auth/components/DemoSessionGate.tsx；src/modules/workspace/components/InstitutionWorkspace.tsx,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts；src/modules/institution/tests/WeComCustomerMappingCandidatesReadonlyPanel.test.tsx；src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,api-route,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/ai-service-usage/route.ts,/api/institution/ai-service-usage,unversioned,unversioned,institution,/api/institution/ai-service-usage,GET,1,0,,1,3,0,src/modules/institution/client/institution-ai-service-usage-client.ts,src/modules/institution/tests/InstitutionAiServiceUsageApiRoute.test.ts；src/modules/institution/tests/InstitutionAiServiceUsageService.test.ts；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/appointments/route.ts,/api/institution/appointments,unversioned,unversioned,institution,/api/institution/appointments,GET；PATCH；POST,3,0,,1,7,0,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CareMutationAccessibility.test.tsx；src/modules/institution/tests/InstitutionBusinessShells.test.tsx；src/modules/institution/tests/TenantBusinessApiRoutes.test.ts；src/modules/institution/tests/TenantBusinessClient.test.ts；src/modules/knowledge-base/tests/V1KnowledgeBaseMvpE2EAcceptance.test.ts；src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/audit-events/route.ts,/api/institution/audit-events,unversioned,unversioned,institution,/api/institution/audit-events,GET,1,0,,1,4,0,src/modules/audit/client/institution-audit-events-client.ts,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts；src/modules/institution/tests/InstitutionBusinessShells.test.tsx；src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,/api/institution/customers/[customerId]/followup-feedback,unversioned,unversioned,institution,/api/institution/customers/[customerId]/followup-feedback,POST,1,1,customerId,1,2,0,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerFollowUpFeedbackApiRoute.test.ts；src/modules/institution/tests/TenantBusinessClient.test.ts,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,/api/institution/customers/[customerId]/followup-overview,unversioned,unversioned,institution,/api/institution/customers/[customerId]/followup-overview,GET,1,1,customerId,1,1,0,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerFollowUpOverviewApiRoute.test.ts,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,/api/institution/customers/[customerId]/followup-timeline,unversioned,unversioned,institution,/api/institution/customers/[customerId]/followup-timeline,GET,1,1,customerId,1,1,0,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerFollowUpTimelineApiRoute.test.ts,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
src/app/api/institution/customers/[customerId]/timeline/route.ts,/api/institution/customers/[customerId]/timeline,unversioned,unversioned,institution,/api/institution/customers/[customerId]/timeline,GET,1,1,customerId,1,4,0,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerTimelineApiRoutes.test.ts；src/modules/institution/tests/InstitutionBusinessShells.test.tsx；src/modules/institution/tests/TenantBusinessClient.test.ts；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,institution-app,9,pending,high,yes,no,unversioned_only,,P1_unversioned_runtime_consumers,保持原路径；补充调用方证据后再决定是否引入版本化兼容入口
