current_path,route_url,family_key,domain,version_class,api_version,http_methods,method_count,dynamic_segment_count,pair_status,current_risk,primary_recommended_action,primary_status,governance_scope,auxiliary_marker,page_or_component_reference_count,runtime_code_reference_count,test_reference_file_count,script_reference_file_count,documentation_reference_file_count,page_or_component_reference_files,runtime_code_reference_files,test_reference_files,script_reference_files,documentation_reference_files,caller_evidence_types,evidence_confidence,external_unknown_assumption,compatibility_strategy,compatibility_reason,compatibility_window,retirement_gate,rollback_requirement,minimum_observability,migration_now,phase19_eligible,pilot_rank,pilot_selection_tier
src/app/api/auth/login/route.ts,/api/auth/login,/api/auth/login,auth,unversioned,unversioned,POST,1,0,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,1,0,2,0,8,src/modules/auth/components/ConfiguredLoginPages.tsx,,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts,,docs/devlog/2026-05-29.md；docs/operations/local-development.md；docs/superpowers/plans/2026-05-30-tenant-persistence-phase4-writes.md；docs/superpowers/plans/2026-06-25-tenant-formal-account-loop-plan.md；docs/superpowers/specs/2026-06-22-demo-mock-runtime-data-cleanup-design.md；docs/verification/2026-06-21-conflict-branch-cleanup-report.md；docs/verification/ai-model-config-claude-remediation-review-2026-06-20.md；docs/verification/ai-model-config-claude-terminal-acceptance-2026-06-20.md,documentation；external_unknown_possible；page_or_component；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/auth/logout/route.ts,/api/auth/logout,/api/auth/logout,auth,unversioned,unversioned,POST,1,0,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,1,0,2,0,2,src/modules/auth/components/LogoutButton.tsx,,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts,,docs/devlog/2026-05-29.md；docs/verification/2026-06-21-conflict-branch-cleanup-report.md,documentation；external_unknown_possible；page_or_component；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/auth/session/route.ts,/api/auth/session,/api/auth/session,auth,unversioned,unversioned,GET,1,0,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,2,0,5,0,6,src/modules/auth/components/DemoSessionGate.tsx；src/modules/workspace/components/InstitutionWorkspace.tsx,,src/modules/auth/tests/DemoAuthRoutes.test.ts；src/modules/auth/tests/FormalAuthRoutes.test.ts；src/modules/institution/tests/WeComCustomerMappingCandidatesReadonlyPanel.test.tsx；src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,docs/devlog/2026-05-29.md；docs/product/acceptance/2026-07-06-v06-kb-end-to-end-acceptance-04a.md；docs/product/plans/2026-07-02-system-staging-acceptance-01.md；docs/superpowers/plans/2026-05-30-phase5-institution-business-real-api.md；docs/superpowers/specs/2026-05-30-phase5-institution-business-real-api-design.md；docs/verification/2026-06-21-conflict-branch-cleanup-report.md,documentation；external_unknown_possible；page_or_component；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/ai-service-usage/route.ts,/api/institution/ai-service-usage,/api/institution/ai-service-usage,institution,unversioned,unversioned,GET,1,0,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,3,0,10,,src/modules/institution/client/institution-ai-service-usage-client.ts,src/modules/institution/tests/InstitutionAiServiceUsageApiRoute.test.ts；src/modules/institution/tests/InstitutionAiServiceUsageService.test.ts；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,docs/product/plans/2026-07-02-system-staging-acceptance-01.md；docs/product/plans/2026-07-02-system-state-priority-01.md；docs/product/plans/2026-07-02-v06-package-ai-quota-institution-linked-04-acceptance-01.md；docs/product/plans/2026-07-02-v06-package-ai-quota-real-link-pre-design-01.md；docs/product/plans/2026-07-03-v06-package-ai-quota-real-link-institution-runtime-03-acceptance-01.md；docs/product/plans/2026-07-03-v06-package-ai-quota-real-link-institution-runtime-03.md；docs/product/plans/v06-ai-credits-institution-closeout-01.md；docs/product/plans/v06-ai-credits-institution-ui-design-03a.md；docs/product/plans/v06-package-ai-quota-contract-01.md；docs/product/plans/v06-package-ai-quota-linkage-design-01.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/appointments/route.ts,/api/institution/appointments,/api/institution/appointments,institution,unversioned,unversioned,GET；PATCH；POST,3,0,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,7,0,14,,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CareMutationAccessibility.test.tsx；src/modules/institution/tests/InstitutionBusinessShells.test.tsx；src/modules/institution/tests/TenantBusinessApiRoutes.test.ts；src/modules/institution/tests/TenantBusinessClient.test.ts；src/modules/knowledge-base/tests/V1KnowledgeBaseMvpE2EAcceptance.test.ts；src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,docs/devlog/2026-05-31.md；docs/product/plans/2026-07-02-system-staging-acceptance-01.md；docs/roadmap/2026-05-30-clean-roadmap-from-rebuild-plan.md；docs/superpowers/plans/2026-05-30-phase5-institution-business-real-api.md；docs/superpowers/plans/2026-05-30-tenant-persistence-phase4-writes.md；docs/superpowers/plans/2026-05-31-phase10-plan-quota-enforcement-light.md；docs/superpowers/plans/2026-05-31-phase6-workspace-entry-consistency.md；docs/superpowers/plans/2026-07-17-institution-care-technical-plan.md；docs/superpowers/specs/2026-05-30-phase5-institution-business-real-api-design.md；docs/superpowers/specs/2026-05-30-tenant-persistence-phase3-design.md；docs/superpowers/specs/2026-05-31-phase10-plan-quota-enforcement-light-design.md；docs/superpowers/specs/2026-05-31-phase11-platform-commercial-health-v1-design.md；docs/superpowers/specs/2026-05-31-phase15-treatment-followup-link-v1-design.md；docs/superpowers/specs/2026-05-31-phase6-workspace-entry-consistency-design.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/audit-events/route.ts,/api/institution/audit-events,/api/institution/audit-events,institution,unversioned,unversioned,GET,1,0,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,4,0,3,,src/modules/audit/client/institution-audit-events-client.ts,src/modules/audit/tests/InstitutionAuditEventsApiRoute.test.ts；src/modules/institution/tests/InstitutionBusinessShells.test.tsx；src/modules/workspace/tests/V1ReadonlyDemoGateAcceptance.test.tsx；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,docs/devlog/2026-05-31.md；docs/superpowers/plans/2026-05-31-phase8-audit-query-v1.md；docs/superpowers/specs/2026-05-31-phase8-audit-query-v1-design.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/customers/[customerId]/followup-feedback/route.ts,/api/institution/customers/[customerId]/followup-feedback,/api/institution/customers/[customerId]/followup-feedback,institution,unversioned,unversioned,POST,1,1,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,2,0,1,,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerFollowUpFeedbackApiRoute.test.ts；src/modules/institution/tests/TenantBusinessClient.test.ts,,docs/product/plans/2026-07-06-v06-followup-timeline-01c.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/customers/[customerId]/followup-overview/route.ts,/api/institution/customers/[customerId]/followup-overview,/api/institution/customers/[customerId]/followup-overview,institution,unversioned,unversioned,GET,1,1,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,1,0,1,,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerFollowUpOverviewApiRoute.test.ts,,docs/product/plans/2026-07-06-v06-followup-timeline-01c.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/customers/[customerId]/followup-timeline/route.ts,/api/institution/customers/[customerId]/followup-timeline,/api/institution/customers/[customerId]/followup-timeline,institution,unversioned,unversioned,GET,1,1,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,1,0,1,,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerFollowUpTimelineApiRoute.test.ts,,docs/product/plans/2026-07-06-v06-followup-timeline-01c.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
src/app/api/institution/customers/[customerId]/timeline/route.ts,/api/institution/customers/[customerId]/timeline,/api/institution/customers/[customerId]/timeline,institution,unversioned,unversioned,GET,1,1,unversioned_only,high,API_VERSION_REVIEW,pending,primary_action,,0,1,4,0,8,,src/modules/institution/client/tenant-business-client.ts,src/modules/institution/tests/CustomerTimelineApiRoutes.test.ts；src/modules/institution/tests/InstitutionBusinessShells.test.tsx；src/modules/institution/tests/TenantBusinessClient.test.ts；src/modules/workspace/tests/WorkspaceEntryPages.test.tsx,,docs/devlog/2026-05-31.md；docs/product/plans/2026-07-06-v06-followup-timeline-01c.md；docs/superpowers/plans/2026-05-31-phase12-treatment-summary-v1.md；docs/superpowers/plans/2026-05-31-phase7-customer-timeline-v1.md；docs/superpowers/specs/2026-05-31-phase12-treatment-summary-v1-design.md；docs/superpowers/specs/2026-05-31-phase13-treatment-summary-create-v1-design.md；docs/superpowers/specs/2026-05-31-phase14-treatment-summary-management-v1-design.md；docs/superpowers/specs/2026-05-31-phase7-customer-timeline-v1-design.md,documentation；external_unknown_possible；runtime_code；test,repository_runtime_lower_bound,possible_not_observable_from_repository,REQUIRE_CLIENT_MIGRATION,存在仓库内运行时代码、页面组件或脚本调用证据，必须先迁移调用方并维持兼容入口,dual_entry_until_known_callers_migrated_and_observed,全部已知调用方完成迁移、回归验证通过且旧入口最低观测期无有效流量后方可提出退役,原入口继续可用；调用方可逐项回切到原路径,按 route_url、HTTP method、status code、认证范围和租户范围记录聚合计数；禁止记录请求体、响应体、凭证或客户数据,no,no,,
